	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
575	{70996: 14}															
576	{76802: 28}															
577	{7364: 28}	{113255: 28}														
578	{113255: 14}															
579	{7364: 28}	{55826: 28}	{70996: 28}													
580	{7364: 28}															
581	{76802: 28}															
582	{70996: 28}															
583	{70996: 28}															
584	{7364: 28}	{55826: 28}	{76802: 28}													
585	{7364: 28}															
586	{55826: 28}	{70996: 28}	{76802: 28}													
587	{55826: 28}	{70996: 28}	{113255: 28}													
588	{76802: 28}															
589	{7364: 28}	{55826: 28}	{70996: 28}													
590	{55826: 28}	{113255: 28}														
591	{7364: 28}	{55826: 28}	{70996: 28}													
592	{7364: 28}	{70996: 21}	{76802: 28}													
593	{113255: 28}															
594	{70996: 28}	{76802: 28}	{113255: 28}													
595	{7364: 28}	{76802: 28}	{113255: 28}													
596	{55826: 28}	{76802: 28}	{113255: 28}													
597	{7364: 28}	{55826: 56}	{70996: 56}													
598	{70996: 7}															
599	{76802: 7}	{113255: 7}														
600	{76802: 7}	{113255: 7}														
601	{70996: 14}															
602	{76802: 7}	{113255: 7}														
603	{76802: 7}	{113255: 7}														
604	{76802: 7}	{113255: 7}														
605	{55826: 7}	{70996: 7}														
606	{55826: 7}	{70996: 7}														
607	{55826: 7}	{70996: 7}														
608	{55826: 7}	{70996: 7}														
609	{55826: 7}	{70996: 7}														
610	{55826: 7}	{70996: 7}														
611	{55826: 7}	{70996: 7}														
612	{55826: 7}	{70996: 7}														
613	{55826: 7}	{70996: 7}														
614	{55826: 7}	{70996: 7}														
615	{76802: 28}	{113255: 28}														
616	{76802: 28}	{113255: 28}														
617	{76802: 7}	{113255: 7}														
618	{76802: 7}	{113255: 7}														
619	{55826: 154}	{76802: 7}														
620	{76802: 7}	{113255: 7}														
621	{55826: 7}	{70996: 7}														
622	{55826: 7}	{70996: 7}														
623	{55826: 7}	{70996: 7}														
624	{76802: 7}	{113255: 7}														
625	{55826: 7}	{70996: 7}														
626	{55826: 7}	{70996: 7}														
627	{76802: 7}															
628	{70996: 14}															
629	{873: 3}															
630	{7558: 28}															
631	{76802: 7}	{113255: 7}														
632	{76802: 7}	{113255: 7}														
633	{76802: 7}	{113255: 7}														
634	{76802: 7}	{113255: 7}														
635	{76802: 7}	{113255: 7}														
636	{55826: 7}	{70996: 7}														
637	{55826: 7}	{70996: 7}														
638	{55826: 7}	{70996: 7}														
639	{55826: 7}	{70996: 7}														
640	{55826: 7}	{70996: 7}														
641	{55826: 7}	{70996: 7}														
642	{55826: 7}	{70996: 7}														
643	{55826: 7}	{70996: 7}														
644	{76802: 7}	{113255: 7}														
645	{76802: 7}	{113255: 7}														
646	{76802: 7}	{113255: 7}														
