	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
385	{55826: 5}	1.0	{70996: 5}	1.0																												
386	{55826: 5}	1.0	{70996: 5}	1.0																												
387	{55826: 5}	1.0	{70996: 5}	1.0																												
388	{55826: 5}	1.0	{70996: 5}	1.0																												
389	{55826: 5}	1.0	{70996: 5}	1.0																												
390	{55826: 5}	1.0	{70996: 5}	1.0																												
391	{70996: 15}	3.0																														
392	{10716: 5}	1.0	{32934: 5}	1.0	{50093: 5}	1.0	{55826: 5}	1.0	{70996: 5}	1.0	{106244: 5}	1.0																				
393	{55826: 7}	1.0																														
394	{76802: 21}	2.0																														
395	{7364: 14}	2.0																														
396	{113255: 14}	2.0																														
397	{55826: 14}	2.0																														
398	{76802: 21}	2.0																														
399	{55826: 14}	1.0																														
400	{7364: 7}	1.0																														
401	{7364: 7}	1.0																														
402	{76802: 7}	1.0																														
403	{7364: 28}	3.0																														
404	{113255: 28}	1.0																														
405	{55826: 21}	2.0																														
406	{70996: 28}	2.0																														
407	{7364: 7}	3.0	{55826: 21}	3.0	{76802: 14}	3.0																										
408	{55826: 24}	2.0																														
409	{70996: 15}	3.0																														
410	{70996: 15}	3.0																														
411	{11162: 7}	2.0	{74858: 7}	2.0																												
412	{70996: 14}	3.0																														
413	{70996: 2}	1.0																														
414	{74858: 14}	5.0																														
415	{18289: 7}	2.0	{44275: 7}	2.0																												
416	{44275: 7}	1.0																														
417	{70996: 12}	1.0																														
418	{7364: 12}	1.0																														
419	{70996: 18}	2.0																														
420	{55826: 18}	2.0	{70996: 6}	2.0																												
421	{7364: 14}	1.0																														
422	{7364: 14}	3.0	{55826: 21}	3.0																												
423	{7364: 28}	2.0																														
424	{7364: 14}	2.0																														
425	{7364: 12}	2.0	{70996: 12}	2.0																												
426	{55826: 10}	2.0	{70996: 5}	2.0																												
427	{55826: 20}	2.0	{70996: 10}	2.0																												
428	{76802: 7}	1.0	{113255: 7}	1.0																												
429	{76802: 7}	3.0	{113255: 7}	3.0																												
430	{76802: 7}	2.0	{113255: 7}	2.0																												
431	{76802: 7}	2.0	{113255: 7}	2.0																												
432	{76802: 7}	2.0	{113255: 7}	2.0																												
433	{76802: 7}	3.0	{113255: 7}	3.0																												
434	{76802: 7}	2.0	{113255: 7}	2.0																												
435	{76802: 7}	3.0	{113255: 7}	3.0																												
436	{76802: 7}	2.0	{113255: 7}	2.0																												
437	{76802: 7}	1.0	{113255: 7}	1.0																												
438	{76802: 7}	2.0	{113255: 7}	2.0																												
439	{55826: 7}	2.0	{70996: 7}	2.0																												
440	{55826: 7}	14.0	{70996: 7}	14.0																												
441	{55826: 7}	2.0	{70996: 7}	2.0																												
442	{55826: 7}	2.0	{70996: 7}	2.0																												
443	{55826: 7}	2.0	{70996: 7}	2.0																												
444	{55826: 7}	2.0	{70996: 7}	2.0																												
445	{55826: 7}	3.0	{70996: 7}	3.0																												
446	{55826: 7}	2.0	{70996: 7}	2.0																												
447	{55826: 7}	3.0	{70996: 7}	3.0																												
448	{55826: 7}	3.0	{70996: 7}	3.0																												
449	{10716: 14}	4.0	{18289: 28}	4.0	{32934: 28}	4.0	{44275: 7}	4.0	{46684: 14}	4.0	{55826: 14}	4.0	{70996: 7}	4.0	{106244: 28}	4.0	{113255: 7}	4.0														
450	{873: 14}	6.0	{4460: 14}	6.0	{7364: 21}	6.0	{8172: 21}	6.0	{11162: 7}	6.0	{50093: 7}	6.0	{52624: 14}	6.0	{55915: 14}	6.0	{74858: 7}	6.0	{76802: 21}	6.0	{113255: 14}	6.0	{116936: 28}	6.0								
451																																
452																																
453	{55826: 18}	2.0																														
454	{7364: 5}	2.0	{55826: 15}	2.0																												
455	{70996: 15}	2.0																														
456	{55826: 7}	1.0	{70996: 7}	1.0																												
457	{7364: 6}	2.0	{70996: 18}	2.0																												
458	{7364: 12}	0.0	{55826: 12}	0.0																												
459	{55826: 7}	3.0	{70996: 7}	3.0																												
460	{76802: 7}	0.0	{113255: 7}	0.0																												
461	{76802: 7}	2.0	{113255: 7}	2.0																												
462	{76802: 7}	2.0	{113255: 7}	2.0																												
463	{76802: 7}	0.0	{113255: 7}	0.0																												
464	{76802: 7}	2.0	{113255: 7}	2.0																												
465	{76802: 7}	0.0	{113255: 7}	0.0																												
466	{76802: 7}	3.0	{113255: 7}	3.0																												
467	{55826: 7}	3.0	{70996: 7}	3.0																												
468	{19075: 21}	6.0	{74864: 21}	6.0	{78678: 21}	6.0																										
469	{14663: 7}	3.0																														
470	{8113: 7}	3.0																														
471	{76802: 7}	6.0																														
472	{7364: 21}	3.0	{55826: 21}	3.0	{70996: 21}	3.0																										
473	{70996: 14}	2.0																														
474	{7364: 21}	3.0	{55826: 21}	3.0	{70996: 21}	3.0																										
475	{873: 14}	0.0	{5608: 14}	0.0																												
476	{7558: 7}	0.0																														
477	{873: 14}	3.0	{74858: 7}	3.0																												
478	{4460: 14}	0.0																														
479	{70997: 21}	12.0																														
480	{70997: 28}	3.0																														
481	{76802: 28}	3.0	{113255: 28}	3.0																												
482	{76802: 28}	3.0	{113255: 28}	3.0																												
483	{76802: 28}	3.0	{113255: 28}	3.0																												
484	{7364: 28}	5.0	{55826: 28}	5.0	{70996: 28}	5.0																										
485	{76802: 28}	3.0	{113255: 28}	3.0																												
486	{76802: 28}	3.0	{113255: 28}	3.0																												
487	{76802: 28}	3.0	{113255: 28}	3.0																												
488	{76802: 7}	2.0	{113255: 7}	2.0																												
489	{55826: 7}	3.0	{70996: 7}	3.0																												
490	{76802: 7}	1.0	{113255: 7}	1.0																												
491	{55826: 7}	2.0	{70996: 7}	2.0																												
492	{55826: 28}	3.0	{70996: 28}	3.0																												
493	{76802: 7}	2.0	{113255: 7}	2.0																												
494	{7364: 14}	6.0																														
495	{873: 7}	2.0	{7558: 7}	2.0																												
496	{7364: 14}	2.0																														
497	{4460: 7}	1.0	{7364: 7}	1.0																												
498	{873: 14}	2.0	{4460: 14}	2.0																												
499	{4460: 14}	2.0	{70997: 7}	2.0																												
500	{873: 14}	3.0	{7558: 7}	3.0																												
501	{873: 4}	1.0																														
502	{7558: 28}	2.0																														
503	{7364: 7}	8.0																														
504	{873: 7}	2.0	{7364: 7}	2.0	{7558: 7}	2.0																										
505	{7558: 14}	2.0																														
506	{873: 14}	2.0	{70997: 14}	2.0																												
507	{4460: 14}	2.0	{7364: 7}	2.0	{70997: 7}	2.0																										
508	{7558: 7}	1.0																														
509	{873: 7}	3.0	{70997: 7}	3.0																												
510	{4460: 14}	1.0																														
511	{7558: 14}	13.0	{70997: 14}	13.0																												
512	{55826: 21}	2.0																														
513	{7364: 21}	12.0	{55826: 28}	12.0	{70996: 21}	12.0																										
514	{7364: 7}	21.0	{55826: 28}	21.0	{70996: 14}	21.0																										
515	{7364: 14}	3.0	{55826: 28}	3.0	{70996: 14}	3.0																										
516	{7364: 14}	21.0	{55826: 21}	21.0	{70996: 14}	21.0																										
517	{7364: 14}	12.0	{55826: 28}	12.0	{70996: 14}	12.0																										
518	{7364: 14}	6.0	{55826: 14}	6.0	{70996: 14}	6.0																										
519	{7364: 14}	4.0	{70996: 28}	4.0																												
520	{7364: 2}	6.0	{55826: 2}	6.0	{70996: 2}	6.0																										
521	{7364: 2}	1.0	{70996: 4}	1.0																												
522	{7364: 28}	2.0																														
523	{55826: 28}	3.0																														
524	{70996: 14}	3.0	{113255: 28}	3.0																												
525	{76802: 7}	2.0	{113255: 7}	2.0																												
526	{76802: 12}	2.0	{113255: 12}	2.0																												
527	{76802: 24}	3.0	{113255: 24}	3.0																												
528	{76802: 24}	0.0	{113255: 24}	0.0																												
529	{873: 14}	2.0	{7558: 7}	2.0																												
530	{7364: 14}	2.0	{55826: 28}	2.0	{70996: 21}	2.0																										
531	{7364: 14}	2.0	{55826: 21}	2.0	{70996: 21}	2.0																										
532	{4460: 14}	0.0	{7364: 14}	0.0																												
533	{873: 7}	2.0	{7558: 7}	2.0																												
534	{7364: 14}	2.0																														
535	{70997: 21}	2.0																														
536	{873: 14}	0.0	{4460: 14}	0.0																												
537	{7364: 14}	2.0																														
538	{7364: 14}	2.0																														
539	{7558: 7}	2.0																														
540	{873: 14}	4.0	{7364: 14}	4.0																												
541	{7558: 28}	2.0																														
542	{55826: 7}	1.0	{70996: 7}	1.0																												
543	{873: 4}	3.0																														
544	{70997: 28}	10.0																														
545	{873: 7}	4.0	{7364: 7}	4.0	{7558: 7}	4.0																										
546	{7364: 7}	2.0																														
547	{7558: 14}	2.0																														
548	{7558: 7}	1.0																														
549	{7364: 14}	3.0	{7558: 7}	3.0																												
550	{7558: 7}	1.0																														
551	{873: 14}	8.0	{70997: 14}	8.0																												
552	{873: 7}	2.0	{70997: 7}	2.0																												
553	{4460: 14}	2.0																														
554	{7558: 14}	3.0	{70997: 14}	3.0																												
555	{55826: 7}	1.0	{70996: 7}	1.0																												
556	{55826: 7}	1.0	{70996: 7}	1.0																												
